age,marital,education,balance,housing,loan,duration,y
53,divorced,secondary,305,no,yes,192,no
45,married,primary,3,yes,yes,128,no
35,married,secondary,76,no,yes,107,no
37,divorced,primary,608,no,no,108,no
36,married,tertiary,531,yes,no,187,no
39,single,primary,1522,no,no,164,no
55,married,secondary,39,no,no,20,no
38,divorced,secondary,2641,no,no,67,no
35,married,secondary,1255,no,no,445,no
37,married,secondary,647,yes,no,41,no
36,married,secondary,1989,no,no,344,no
51,divorced,primary,886,no,no,167,no
38,single,tertiary,18,no,no,605,no
36,single,tertiary,1568,no,no,433,no
51,married,primary,1382,no,no,226,no
43,married,primary,103,yes,no,179,no
48,single,tertiary,1437,yes,yes,34,no
45,married,primary,0,no,yes,161,no
46,married,secondary,0,no,no,77,no
42,married,unknown,524,no,no,220,no
60,married,primary,352,no,yes,81,no
56,divorced,secondary,278,yes,no,269,no
42,married,tertiary,753,no,no,31,no
40,married,primary,-158,yes,yes,59,no
43,married,secondary,104,no,no,332,no
39,single,secondary,1103,no,no,24,no
58,married,primary,671,yes,no,16,no
38,divorced,secondary,258,no,no,88,no
53,married,primary,1100,yes,no,714,no
46,married,secondary,7,no,no,110,no
54,single,secondary,515,yes,no,205,no
44,married,primary,711,no,no,291,no
48,married,secondary,7434,no,no,986,no
40,married,tertiary,1603,no,no,279,no
33,divorced,secondary,969,yes,no,166,no
36,single,secondary,787,no,no,92,no
49,divorced,primary,150,no,no,254,no
32,single,secondary,914,yes,no,236,no
40,married,secondary,752,no,yes,717,no
36,divorced,primary,553,no,no,19,no
37,single,secondary,926,no,no,93,no
50,married,tertiary,557,yes,no,200,no
38,married,unknown,5830,no,no,176,no
50,married,tertiary,6181,no,no,1162,no
56,divorced,tertiary,4266,yes,no,490,yes
38,single,tertiary,110,no,no,1051,yes
59,divorced,tertiary,0,no,no,437,no
52,divorced,secondary,334,yes,no,422,no
59,married,secondary,3,no,no,1199,no
44,married,primary,3706,no,no,209,no
55,married,secondary,5838,no,no,115,no
37,married,secondary,830,no,no,292,no
40,married,primary,-616,yes,no,370,no
44,divorced,secondary,268,no,no,108,no
35,married,unknown,53,no,no,495,no
59,married,secondary,2703,no,yes,249,no
38,single,tertiary,3316,no,no,1345,yes
41,married,primary,402,no,no,114,no
50,divorced,primary,608,yes,no,107,no
46,married,tertiary,120,no,no,171,no
41,married,secondary,1483,yes,no,66,no
57,married,secondary,926,no,no,447,no
57,married,secondary,2745,yes,no,167,no
35,single,tertiary,-49,no,no,668,no
55,married,secondary,752,no,no,204,no
42,married,unknown,2374,no,no,158,no
36,single,secondary,99,no,no,256,no
40,married,secondary,106,no,no,676,yes
36,married,tertiary,404,no,no,63,no
39,married,secondary,2239,no,no,133,no
37,married,tertiary,1170,no,yes,153,no
38,married,tertiary,12877,no,no,118,no
31,married,secondary,440,yes,no,117,no
40,married,secondary,1318,yes,no,681,no
36,divorced,secondary,251,no,no,59,no
39,married,secondary,1317,no,no,42,no
36,married,tertiary,4515,yes,no,408,no
49,married,secondary,652,no,yes,127,no
48,married,secondary,306,no,yes,314,no
48,divorced,secondary,720,yes,no,277,no
40,married,primary,322,no,no,140,no
30,married,unknown,4471,yes,no,424,no
48,married,tertiary,6613,no,no,159,no
39,married,primary,2303,yes,no,775,yes
44,single,primary,99,no,no,187,no
34,single,secondary,-269,yes,no,102,no
60,married,tertiary,3301,no,no,2621,yes
53,single,primary,354,yes,no,96,no
37,single,tertiary,556,no,no,200,no
56,divorced,tertiary,22946,no,no,75,no
32,single,secondary,1364,yes,yes,85,no
49,married,secondary,4110,no,no,50,no
56,married,secondary,2409,no,no,173,no
47,married,secondary,726,no,no,60,no
48,married,secondary,178,yes,no,320,no
38,married,primary,265,no,no,854,no
36,married,primary,758,no,no,236,no
43,single,primary,1354,no,no,183,no
55,divorced,secondary,0,no,no,76,no
39,married,secondary,-184,no,yes,185,no
59,married,primary,124,no,no,41,no
56,married,primary,1126,no,no,39,no
49,single,tertiary,2226,no,no,138,no
37,divorced,secondary,9,yes,yes,411,no
51,married,tertiary,1911,yes,yes,394,no
51,divorced,tertiary,5244,no,no,266,no
54,married,secondary,1614,yes,no,534,no
52,married,tertiary,2801,yes,yes,311,no
38,married,secondary,926,no,no,705,no
54,single,secondary,770,no,no,89,no
58,married,primary,5279,yes,no,93,no
55,divorced,secondary,148,no,no,847,no
28,married,primary,0,yes,yes,273,no
46,married,primary,741,no,no,161,no
49,married,secondary,788,no,no,162,no
50,married,primary,276,no,yes,641,no
38,divorced,secondary,-10,yes,no,61,no
37,single,tertiary,-25,no,no,136,no
57,married,primary,0,no,no,187,no
43,married,secondary,392,no,no,332,no
39,married,secondary,156,no,yes,76,no
37,divorced,secondary,-302,no,no,406,no
38,divorced,secondary,156,yes,no,544,no
36,single,tertiary,3649,yes,no,756,no
38,single,unknown,1610,yes,no,76,no
50,married,secondary,1321,no,no,271,no
53,married,primary,232,yes,yes,203,no
50,single,tertiary,267,no,no,338,no
53,married,unknown,619,no,no,198,no
46,divorced,primary,358,no,no,259,no
36,single,tertiary,171,no,no,398,no
55,married,tertiary,913,no,no,462,no
59,divorced,unknown,0,no,no,956,no
58,married,primary,3957,no,no,76,no
39,married,primary,1551,no,no,264,no
38,married,secondary,197,no,no,979,no
43,married,secondary,618,no,no,89,no
39,married,primary,-119,no,no,135,no
52,married,secondary,1490,no,yes,420,no
56,married,primary,288,no,no,548,no
36,married,secondary,1409,no,no,235,no
52,married,secondary,851,no,no,87,no
43,married,secondary,236,no,no,169,no
53,divorced,secondary,120,no,no,343,no
50,divorced,tertiary,580,no,no,88,no
25,single,secondary,1116,no,yes,68,no
36,single,secondary,398,yes,yes,77,no
35,married,secondary,331,yes,no,116,no
51,married,primary,3942,yes,no,363,no
38,married,primary,7944,no,no,116,no
54,married,secondary,468,no,no,207,no
45,married,tertiary,3329,no,no,311,no
36,married,secondary,0,no,yes,138,no
36,married,secondary,1981,no,no,48,no
26,single,primary,71,no,no,390,no
51,married,primary,307,yes,yes,65,no
52,married,tertiary,502,no,no,637,no
46,divorced,tertiary,25,no,no,564,no
58,divorced,primary,57,no,no,117,no
45,married,unknown,1979,no,no,76,no
27,single,secondary,370,yes,no,128,no
57,married,primary,4073,no,no,193,no
42,married,primary,46,yes,no,130,no
29,single,secondary,-95,yes,no,269,no
52,married,tertiary,7388,no,yes,291,no
37,divorced,secondary,531,no,no,150,no
48,married,tertiary,734,yes,no,1208,no
37,married,secondary,10465,no,no,144,no
36,married,secondary,2357,yes,no,228,no
24,single,secondary,2355,yes,no,158,no
35,married,tertiary,1359,no,no,585,no
39,divorced,secondary,51,no,no,334,no
35,married,unknown,0,no,no,229,no
46,divorced,secondary,865,no,no,117,no
57,divorced,tertiary,873,no,no,441,no
36,single,secondary,2596,no,no,60,no
49,married,secondary,662,no,no,47,no
57,divorced,tertiary,5253,no,no,235,no
36,single,secondary,9231,no,no,270,no
44,married,primary,0,no,no,192,no
44,married,secondary,0,no,no,26,no
52,married,secondary,424,no,no,89,no
38,single,tertiary,0,no,no,61,no
48,married,primary,551,yes,yes,386,no
51,married,secondary,1123,no,no,54,no
49,married,primary,434,yes,yes,272,no
46,married,primary,-1,no,no,35,no
40,married,secondary,265,no,no,1365,no
40,single,secondary,1200,yes,no,284,no
50,married,secondary,1134,no,no,53,no
39,divorced,tertiary,26,no,no,311,no
48,single,secondary,1253,yes,no,245,no
46,single,primary,10,no,no,64,no
45,married,secondary,231,yes,no,151,no
46,married,primary,557,no,no,89,no
37,married,secondary,1736,no,yes,66,no
40,married,secondary,256,no,no,30,no
55,married,secondary,31,no,no,72,no
42,divorced,secondary,31,no,no,120,no
28,married,secondary,-493,yes,no,126,no
45,married,secondary,103,no,no,48,no
29,married,secondary,1104,yes,no,262,no
52,married,secondary,262,no,no,1062,no
37,single,secondary,2657,yes,no,295,no
37,single,secondary,415,no,no,203,no
28,single,tertiary,2253,yes,no,906,no
49,married,primary,1330,no,yes,37,no
42,married,secondary,0,no,no,118,no
42,single,tertiary,2918,no,no,18,no
51,married,primary,1093,no,yes,18,no
54,married,primary,3151,no,no,350,no
39,married,secondary,224,no,no,421,no
51,married,primary,67,no,no,835,yes
60,married,primary,0,no,no,104,no
29,married,secondary,-565,yes,no,164,no
38,married,secondary,2289,no,no,89,no
39,single,tertiary,426,no,no,1029,yes
36,married,tertiary,9,yes,no,112,no
55,married,primary,1101,no,no,744,no
36,divorced,secondary,8267,no,no,321,no
37,married,tertiary,223,no,no,24,no
48,married,secondary,1096,yes,no,213,no
37,married,primary,704,no,no,165,no
51,married,primary,192,no,no,129,no
51,divorced,secondary,9,no,no,371,yes
36,married,primary,1707,no,no,190,no
27,married,secondary,47,yes,no,114,no
36,married,secondary,1370,no,no,221,no
33,single,tertiary,729,yes,yes,178,no
58,divorced,secondary,7798,no,no,247,no
27,single,secondary,629,yes,yes,680,no
56,married,secondary,3760,no,no,243,no
42,divorced,secondary,0,yes,yes,185,no
32,married,secondary,201,yes,no,110,no
26,married,secondary,416,yes,yes,172,no
25,single,unknown,-501,yes,yes,156,no
39,married,secondary,39,yes,no,34,no
42,single,secondary,1279,yes,no,347,no
37,married,secondary,10721,yes,no,394,no
28,single,secondary,975,yes,no,59,no
29,married,tertiary,620,yes,no,72,no
50,married,secondary,311,yes,yes,417,no
48,single,tertiary,0,no,no,96,no
27,married,secondary,-97,yes,no,1528,yes
24,married,secondary,0,yes,no,154,no
48,single,secondary,479,yes,yes,533,no
46,single,tertiary,46,no,yes,107,no
49,single,secondary,1202,yes,no,122,no
48,married,primary,363,yes,no,257,no
44,married,secondary,1147,yes,no,23,no
61,divorced,secondary,369,no,no,82,no
58,married,unknown,219,no,no,55,no
43,divorced,secondary,62,no,no,67,no
45,married,tertiary,143,no,no,83,no
43,married,unknown,3485,no,no,113,no
58,divorced,primary,97,no,no,59,no
50,married,secondary,0,no,no,551,no
43,married,tertiary,657,no,no,367,no
59,divorced,tertiary,1304,no,no,220,no
56,single,unknown,2351,no,no,15,no
60,married,secondary,1524,no,no,173,no
58,married,primary,0,no,no,37,no
57,married,secondary,773,yes,yes,97,no
42,married,secondary,197,no,no,199,no
36,married,secondary,2627,yes,no,94,no
35,married,secondary,165,yes,no,272,no
37,divorced,secondary,-689,no,no,15,no
40,married,tertiary,397,no,no,50,no
37,married,tertiary,11265,no,no,417,no
55,married,secondary,5836,no,no,192,no
36,single,tertiary,391,no,no,443,no
37,married,unknown,0,no,no,115,no
45,single,secondary,0,no,no,1487,no
49,married,secondary,1743,no,no,68,no
28,divorced,tertiary,594,yes,yes,54,no
60,divorced,primary,1582,no,yes,159,no
44,married,primary,2791,no,no,335,no
49,married,secondary,997,no,no,118,no
39,married,tertiary,2310,yes,yes,104,no
37,married,secondary,0,no,no,236,no
49,married,unknown,1401,no,no,300,no
54,married,primary,5048,no,no,163,no
48,married,tertiary,0,no,yes,103,no
37,divorced,secondary,0,yes,no,187,no
41,single,tertiary,11008,no,no,1540,yes
49,single,unknown,332,no,no,163,no
46,married,secondary,179,no,yes,129,no
55,married,primary,761,no,no,67,no
38,divorced,secondary,889,no,yes,362,no
42,single,primary,4930,no,no,973,yes
42,married,secondary,-813,yes,no,36,no
37,single,tertiary,2087,no,no,167,no
60,married,primary,0,no,no,138,no
59,married,primary,0,no,no,1009,no
47,married,primary,490,yes,no,55,no
48,married,primary,5173,yes,no,88,no
48,married,primary,5348,no,no,105,no
37,married,secondary,603,no,no,339,no
36,single,secondary,755,no,no,355,no
47,divorced,secondary,829,no,yes,466,no
37,married,secondary,2235,no,no,94,no
60,married,primary,3,no,no,227,no
38,single,unknown,722,no,no,65,no
47,married,tertiary,414,no,no,387,no
56,divorced,secondary,389,yes,no,379,no
51,married,unknown,167,no,no,205,no
37,married,unknown,-224,no,no,332,no
48,single,primary,0,no,no,71,no
39,married,tertiary,6497,no,no,567,no
44,married,secondary,1025,yes,no,200,no
35,married,unknown,1201,no,no,537,yes
44,married,tertiary,17361,no,no,476,no
58,divorced,primary,0,no,no,290,no
56,married,unknown,616,no,no,1812,no
45,divorced,tertiary,959,no,no,74,no
50,married,secondary,1019,yes,no,76,no
57,married,tertiary,1172,no,no,26,no
59,married,secondary,5744,no,no,632,no
58,married,tertiary,3768,yes,no,316,no
58,married,primary,1274,no,no,35,no
46,divorced,primary,2870,no,no,52,no
50,married,secondary,753,no,no,59,no
52,married,primary,9,no,no,243,no
44,married,tertiary,2283,yes,yes,81,no
59,married,primary,1245,no,no,205,no
54,divorced,primary,1194,no,no,58,no
39,married,primary,-186,no,yes,320,no
48,married,secondary,17957,no,no,700,no
48,single,unknown,0,no,no,453,no
44,married,secondary,1872,yes,no,146,no
56,married,tertiary,773,no,no,345,no
32,single,tertiary,7419,yes,no,248,no
53,divorced,secondary,517,yes,no,188,no
36,married,secondary,90,no,no,166,no
55,married,secondary,0,no,no,324,no
44,single,unknown,4330,no,no,16,no
51,single,secondary,440,no,no,392,no
48,married,secondary,1800,yes,no,103,no
56,divorced,secondary,486,yes,no,577,no
47,single,unknown,2443,no,no,422,no
53,married,tertiary,235,no,no,112,no
47,married,primary,0,no,no,308,no
52,married,tertiary,1147,no,no,43,no
44,married,secondary,-448,yes,no,149,no
60,married,tertiary,1336,no,no,324,no
59,married,unknown,337,no,no,100,no
35,married,secondary,1476,no,no,209,no
37,married,secondary,2128,no,no,105,no
41,married,secondary,707,no,no,707,yes
33,married,secondary,4,yes,yes,625,yes
47,married,secondary,3478,no,no,13,no
46,married,secondary,126,no,no,1255,yes
50,married,tertiary,3296,no,no,255,no
45,single,secondary,1771,no,no,50,no
38,divorced,secondary,446,yes,no,373,no
50,married,unknown,200,no,no,18,no
43,married,secondary,5233,no,no,108,no
54,married,primary,45,yes,no,142,no
38,single,tertiary,11,no,no,78,no
59,divorced,primary,681,no,yes,376,no
37,divorced,secondary,37,no,no,155,no
51,married,secondary,2682,no,no,56,no
58,married,tertiary,2729,no,no,188,no
53,married,secondary,1776,no,no,443,no
59,married,secondary,479,no,no,326,no
60,married,tertiary,11,no,no,802,no
47,married,unknown,1880,no,no,64,no
60,single,secondary,3916,no,no,18,no
45,divorced,tertiary,220,yes,no,89,no
36,single,unknown,386,no,no,359,no
37,married,secondary,523,no,no,257,no
44,divorced,secondary,608,yes,yes,19,no
45,married,secondary,2571,no,no,146,no
57,divorced,primary,914,no,no,404,no
45,married,primary,1152,no,no,234,no
38,single,secondary,519,yes,yes,13,no
36,married,tertiary,9405,no,no,297,no
39,single,secondary,1967,no,no,156,no
52,married,secondary,0,yes,no,636,no
49,married,unknown,1355,yes,no,300,no
40,married,tertiary,-1779,yes,yes,37,no
44,single,primary,1059,no,no,2093,yes
38,married,secondary,611,yes,yes,61,no
36,married,secondary,1024,yes,no,111,no
31,married,secondary,671,yes,no,704,yes
42,married,primary,3,no,no,45,no
44,married,secondary,692,no,no,73,no
40,married,tertiary,4396,no,no,1195,no
50,married,primary,280,yes,no,61,no
41,divorced,secondary,2769,yes,no,96,no
41,married,secondary,1245,no,no,140,no
57,married,unknown,4722,yes,no,121,no
49,married,primary,1050,yes,no,84,no
33,single,secondary,3160,no,no,719,no
51,married,primary,1238,no,no,48,no
51,married,tertiary,1533,no,no,242,no
31,single,secondary,54,no,no,230,no
53,married,tertiary,694,no,no,130,no
28,single,secondary,623,no,no,25,no
47,married,primary,197,no,no,57,no
53,married,secondary,357,no,no,154,no
60,married,secondary,358,no,no,74,no
37,divorced,primary,0,yes,no,77,no
60,married,primary,0,no,no,201,no
38,married,secondary,29125,no,no,313,no
58,married,tertiary,5680,no,no,114,no
40,divorced,unknown,2357,no,no,66,no
50,married,secondary,193,yes,no,305,no
60,married,primary,415,no,no,49,no
37,single,primary,12130,yes,no,429,no
48,divorced,primary,2582,no,no,51,no
45,single,secondary,359,yes,no,41,no
47,divorced,secondary,165,no,no,99,no
51,single,secondary,1994,no,no,771,yes
57,divorced,primary,113,no,no,378,no
57,married,primary,1236,no,no,152,no
44,divorced,tertiary,0,no,no,491,no
38,single,secondary,1121,no,no,203,no
38,married,secondary,393,no,no,90,no
57,divorced,unknown,4244,no,no,626,no
46,married,primary,1823,no,no,135,no
44,single,tertiary,827,yes,no,65,no
42,married,primary,1371,no,no,125,no
49,married,unknown,507,no,yes,16,no
54,single,tertiary,1433,yes,yes,18,no
54,married,secondary,1455,yes,no,90,no
59,married,primary,1427,no,no,140,no
37,married,primary,1104,no,no,15,no
39,single,primary,1340,no,no,113,no
53,married,primary,-257,yes,yes,249,no
49,married,secondary,2058,no,no,82,no
48,married,unknown,2261,no,no,445,no
32,married,tertiary,607,yes,no,1060,yes
45,married,tertiary,-687,yes,yes,92,no
36,married,primary,946,yes,no,255,no
58,married,primary,2387,no,no,55,no
42,married,secondary,3236,no,no,521,no
44,divorced,secondary,20541,no,yes,501,no
40,single,secondary,1670,yes,no,161,no
57,married,unknown,4148,no,no,340,no
42,married,primary,-303,yes,no,40,no
47,married,primary,504,no,yes,156,no
39,single,primary,0,no,no,375,no
52,married,secondary,0,no,no,161,no
57,divorced,primary,7451,no,no,43,no
36,married,secondary,542,yes,no,604,no
59,married,secondary,0,no,no,368,no
44,married,secondary,2092,no,yes,452,no
41,married,primary,219,no,yes,1574,yes
39,married,secondary,0,no,no,29,no
58,married,secondary,1826,yes,no,47,no
60,married,primary,987,no,no,102,no
46,married,primary,110,no,no,113,no
36,married,secondary,537,no,no,160,no
48,married,primary,649,no,no,136,no
50,married,secondary,5,no,no,170,no
44,single,secondary,2524,no,no,82,no
42,married,secondary,370,no,no,302,no
54,married,primary,10662,no,no,256,no
50,married,secondary,748,no,yes,147,no
47,married,secondary,1195,no,no,451,no
41,married,secondary,7509,no,no,575,no
41,married,secondary,1278,no,no,532,no
60,married,unknown,6313,no,no,39,no
54,married,tertiary,4112,no,no,86,no
46,married,primary,1188,no,no,675,no
59,married,primary,4143,no,no,122,no
40,married,primary,117,yes,no,172,no
57,married,secondary,0,no,no,97,no
53,divorced,secondary,-112,no,no,394,no
50,married,secondary,306,no,no,37,no
39,single,tertiary,410,no,no,266,no
52,divorced,tertiary,0,no,no,297,no
51,divorced,secondary,107,no,no,593,no
55,married,secondary,2010,no,no,446,no
57,single,secondary,630,no,no,276,no
46,single,unknown,312,yes,no,108,no
50,single,tertiary,0,yes,no,638,no
56,married,primary,1906,no,yes,45,no
38,married,unknown,499,no,no,240,no
59,married,secondary,1723,no,no,70,no
42,single,unknown,33,no,no,25,no
41,married,secondary,2,yes,no,64,no
45,married,tertiary,3626,no,no,2485,no
48,married,tertiary,269,yes,no,149,no
54,married,primary,1925,no,no,348,no
38,married,tertiary,-1007,yes,yes,71,no
50,divorced,primary,-232,yes,no,168,no
58,married,primary,0,yes,no,573,no
55,married,secondary,5874,no,no,229,no
58,married,secondary,1463,yes,no,446,no
54,married,secondary,415,yes,no,34,no
41,single,unknown,426,yes,no,75,no
39,married,tertiary,16,no,no,32,no
55,married,secondary,891,no,no,268,no
41,divorced,tertiary,1,yes,no,244,no
40,married,secondary,3316,no,no,102,no
53,divorced,secondary,4512,no,no,203,no
58,married,tertiary,5087,no,no,252,no
51,married,secondary,884,no,no,50,no
49,married,secondary,148,no,no,13,no
58,married,secondary,3,no,no,188,no
37,married,tertiary,678,no,yes,395,no
40,married,secondary,0,no,no,61,no
55,married,primary,38,no,yes,63,no
55,married,secondary,477,no,no,170,no
42,married,primary,692,no,yes,207,no
43,single,tertiary,0,no,no,147,no
44,married,secondary,11972,no,no,127,no
56,married,tertiary,1663,no,no,22,no
49,divorced,secondary,848,yes,no,109,no
51,divorced,tertiary,3415,yes,no,677,no
50,married,tertiary,4045,no,no,167,no
43,married,tertiary,4324,yes,no,105,no
41,married,primary,2636,no,no,318,no
54,married,secondary,0,no,no,220,no
45,married,secondary,825,no,no,140,no
40,married,secondary,273,yes,no,1082,no
57,married,secondary,712,yes,yes,824,no
39,divorced,secondary,37,no,yes,248,no
59,married,primary,143,yes,no,11,no
44,married,tertiary,7177,no,no,89,no
44,single,primary,1308,no,yes,161,no
55,married,secondary,557,no,no,58,no
45,divorced,secondary,1381,no,no,653,no
59,married,secondary,2528,no,yes,216,no
41,divorced,secondary,586,yes,no,223,no
40,married,secondary,1358,no,no,96,no
43,married,secondary,1113,no,no,477,no
50,married,primary,1179,no,no,30,no
36,divorced,secondary,47,no,no,159,no
59,married,secondary,1365,no,no,327,no
40,married,primary,607,yes,no,432,no
42,single,secondary,283,yes,no,446,no
57,married,unknown,1621,yes,no,108,no
46,married,primary,1844,no,no,29,no
38,married,unknown,3053,no,no,178,no
40,single,primary,5613,yes,no,152,no
52,divorced,secondary,302,no,no,169,no
37,single,secondary,124,yes,no,635,no
52,married,primary,425,no,no,122,no
48,married,primary,343,no,no,136,no
42,single,primary,1401,yes,no,69,no
37,married,primary,0,yes,no,129,no
46,married,primary,641,yes,no,201,no
41,divorced,secondary,3622,no,no,1135,yes
45,married,primary,351,yes,no,66,no
57,single,secondary,5768,yes,no,512,yes
57,divorced,secondary,1795,yes,no,818,no
36,married,unknown,1437,no,no,810,no
35,married,tertiary,1833,no,no,138,no
52,married,tertiary,3737,yes,no,574,no
56,married,secondary,6005,yes,no,44,no
37,married,primary,253,yes,no,145,no
41,divorced,secondary,271,yes,no,196,no
48,married,secondary,334,no,yes,270,no
54,married,primary,211,no,no,200,no
50,divorced,unknown,4204,no,no,335,no
56,married,secondary,101,no,yes,330,no
41,divorced,secondary,256,no,no,91,no
48,single,unknown,2961,no,no,361,no
51,married,secondary,2604,no,no,64,no
35,single,tertiary,2808,yes,no,221,no
40,married,secondary,1,no,no,84,no
48,married,primary,1204,yes,no,53,no
47,divorced,secondary,0,no,no,141,no
56,married,secondary,771,yes,yes,254,no
55,divorced,secondary,1580,no,yes,1007,yes
52,married,primary,1409,yes,no,224,no
38,single,unknown,62,no,no,212,no
52,divorced,primary,2800,no,no,149,no
47,married,unknown,989,no,no,116,no
46,divorced,primary,1712,no,no,110,no
56,married,secondary,216,no,no,77,no
37,married,unknown,47,no,no,374,no
38,married,primary,2322,no,no,207,no
41,divorced,secondary,1,no,yes,289,no
53,married,secondary,2774,no,yes,193,no
40,married,primary,2132,no,no,143,no
55,single,primary,10183,no,no,106,no
47,married,primary,823,no,no,191,no
42,married,secondary,0,no,no,370,no
54,married,secondary,6449,no,no,487,no
49,married,primary,98,no,yes,534,no
49,married,primary,563,no,no,84,no
44,married,unknown,1127,yes,no,118,no
47,married,secondary,0,no,no,284,no
51,married,primary,4711,no,no,253,no
46,married,secondary,1120,no,yes,786,no
59,married,primary,0,no,no,239,no
50,married,unknown,1389,yes,no,162,no
38,married,primary,338,no,no,219,no
39,married,tertiary,4,yes,yes,185,no
58,married,secondary,5087,no,no,135,no
41,married,tertiary,-378,yes,yes,252,no
45,married,tertiary,9711,no,no,416,no
36,married,secondary,3972,yes,yes,32,no
46,divorced,secondary,2441,no,no,217,no
56,married,tertiary,411,no,no,145,no
24,married,secondary,691,yes,no,93,no
51,married,primary,1938,no,no,61,no
29,married,secondary,508,yes,yes,262,no
42,single,unknown,22,no,no,246,no
51,married,tertiary,3134,no,no,92,no
53,married,secondary,1319,no,no,1318,yes
23,single,secondary,-782,yes,yes,197,no
47,divorced,secondary,5735,no,no,282,no
55,married,primary,2152,no,no,922,yes
52,married,tertiary,0,no,no,163,no
50,married,secondary,1857,no,yes,26,no
48,married,tertiary,13501,no,no,63,no
37,married,secondary,0,no,yes,176,no
39,married,secondary,2843,yes,no,585,yes
53,married,secondary,2955,no,no,605,no
20,single,secondary,66,yes,no,75,no
38,married,secondary,634,no,no,211,no
36,married,tertiary,1352,no,no,2028,yes
57,married,tertiary,209,no,no,453,no
28,married,primary,237,yes,no,498,no
40,married,primary,2469,no,yes,202,no
40,married,unknown,35,no,no,40,no
50,married,primary,59,no,no,184,no
55,married,primary,5109,no,no,55,no
40,married,tertiary,0,no,no,952,yes
55,married,primary,868,no,no,207,no
36,single,secondary,0,no,no,238,no
53,married,primary,828,yes,no,232,no
38,single,secondary,207,no,no,76,no
35,single,secondary,23,yes,no,113,no
44,married,secondary,17,yes,no,153,no
60,married,unknown,652,no,no,525,no
55,married,unknown,179,no,no,97,no
54,married,secondary,3846,yes,yes,216,no
39,single,secondary,0,no,yes,142,no
54,married,primary,774,no,no,290,no
39,married,tertiary,6495,no,no,280,no
52,married,secondary,422,no,no,559,no
46,single,unknown,63,no,no,235,no
51,married,primary,91,no,yes,368,no
56,married,secondary,5310,no,no,74,no
52,married,secondary,1282,no,no,148,no
55,married,primary,1537,no,no,359,no
44,married,primary,1669,no,no,64,no
59,married,primary,1115,no,no,834,yes
36,married,secondary,4280,no,no,227,no
42,married,unknown,587,yes,no,16,no
57,married,secondary,1070,no,no,73,no
37,divorced,secondary,796,no,no,104,no
57,married,secondary,461,yes,no,69,no
43,divorced,secondary,1138,no,no,65,no
39,married,primary,2860,no,no,133,no
56,married,secondary,2558,no,no,288,no
55,divorced,primary,0,no,no,120,no
49,married,tertiary,3022,no,no,38,no
38,single,secondary,48,no,no,43,no
41,married,secondary,876,no,no,78,no
46,divorced,primary,148,no,no,166,no
47,married,secondary,759,yes,no,30,no
36,married,secondary,4011,no,no,10,no
36,single,tertiary,1923,no,no,219,no
48,divorced,primary,-110,no,yes,164,no
52,divorced,secondary,98,no,yes,148,no
37,married,secondary,313,yes,no,11,no
36,married,primary,-453,yes,no,130,no
51,married,secondary,-267,no,yes,208,no
59,married,primary,1071,no,no,140,no
41,single,tertiary,6025,no,no,559,no
57,married,secondary,2020,no,no,93,no
46,married,unknown,626,yes,no,177,no
42,divorced,secondary,241,yes,no,405,no
45,married,tertiary,-52,yes,no,202,no
39,single,secondary,1986,no,yes,367,no
55,married,primary,202,no,yes,60,no
36,married,secondary,472,yes,no,1017,no
43,married,tertiary,1937,no,no,385,no
48,married,primary,3062,no,no,237,no
53,married,secondary,76,yes,no,237,no
28,single,secondary,593,yes,no,202,no
28,married,primary,182,yes,no,153,no
25,single,secondary,722,yes,no,172,no
38,divorced,secondary,2674,yes,no,163,no
51,divorced,secondary,2843,yes,no,97,no
28,single,primary,2340,yes,no,399,no
26,married,primary,-157,yes,no,60,no
26,married,secondary,1028,yes,yes,431,no
54,divorced,primary,52,no,no,184,no
29,married,secondary,7836,yes,no,155,no
52,divorced,tertiary,-309,yes,no,500,yes
50,married,secondary,3374,no,no,27,no
44,married,secondary,168,no,no,167,no
37,married,secondary,121,no,yes,89,no
39,single,secondary,2453,no,no,92,no
28,single,tertiary,940,yes,no,296,no
29,single,secondary,613,yes,no,779,no
47,married,secondary,0,no,no,563,no
38,married,secondary,1403,no,no,146,no
35,single,tertiary,250,no,no,92,no
40,married,primary,-108,yes,no,149,no
48,married,secondary,7,no,no,354,no
47,married,secondary,4923,no,no,121,no
40,married,tertiary,20,yes,no,106,no
41,married,tertiary,5736,yes,yes,136,no
26,single,secondary,-859,yes,no,297,no
25,married,secondary,1782,yes,no,549,no
28,married,secondary,1331,yes,yes,267,no
35,married,secondary,2228,no,no,461,no
38,single,secondary,435,no,no,117,no
29,single,secondary,732,yes,no,409,no
23,married,secondary,299,yes,no,104,no
55,married,primary,136,yes,no,15,no
61,married,tertiary,50,no,no,216,no
29,married,secondary,0,yes,no,211,no
36,married,primary,2022,no,no,71,no
48,married,primary,237,yes,no,18,no
42,single,secondary,625,no,no,651,yes
45,married,tertiary,377,yes,no,835,yes
41,married,primary,246,no,no,683,yes
45,married,secondary,870,no,yes,258,no
43,single,unknown,682,no,no,156,no
27,married,secondary,61,yes,no,1012,yes
45,single,secondary,-198,yes,no,130,no
44,single,primary,148,no,no,311,no
42,divorced,secondary,923,yes,no,129,no
47,divorced,secondary,176,no,no,91,no
37,married,secondary,5700,no,no,49,no
39,married,primary,1473,yes,no,112,no
